sample_fp	plate	cycle	well	tile
/lab/ops_data/nebo/plate_1/input_sbs/c1/10x/P001_Wells-A3_Points-067__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	1	A3	67
/lab/ops_data/nebo/plate_1/input_sbs/c1/10x/P001_Wells-A3_Points-068__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	1	A3	68
/lab/ops_data/nebo/plate_1/input_sbs/c1/10x/P001_Wells-A3_Points-069__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	1	A3	69
/lab/ops_data/nebo/plate_1/input_sbs/c1/10x/P001_Wells-A3_Points-070__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	1	A3	70
/lab/ops_data/nebo/plate_1/input_sbs/c1/10x/P001_Wells-A3_Points-071__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	1	A3	71
/lab/ops_data/nebo/plate_1/input_sbs/c1/10x/P001_Wells-A3_Points-072__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	1	A3	72
/lab/ops_data/nebo/plate_1/input_sbs/c1/10x/P001_Wells-A3_Points-073__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	1	A3	73
/lab/ops_data/nebo/plate_1/input_sbs/c1/10x/P001_Wells-A3_Points-074__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	1	A3	74
/lab/ops_data/nebo/plate_1/input_sbs/c1/10x/P001_Wells-A3_Points-075__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	1	A3	75
/lab/ops_data/nebo/plate_1/input_sbs/c1/10x/P001_Wells-A3_Points-076__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	1	A3	76
/lab/ops_data/nebo/plate_1/input_sbs/c1/10x/P001_Wells-A3_Points-077__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	1	A3	77
/lab/ops_data/nebo/plate_1/input_sbs/c1/10x/P001_Wells-A3_Points-078__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	1	A3	78
/lab/ops_data/nebo/plate_1/input_sbs/c1/10x/P001_Wells-A3_Points-079__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	1	A3	79
/lab/ops_data/nebo/plate_1/input_sbs/c1/10x/P001_Wells-A3_Points-080__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	1	A3	80
/lab/ops_data/nebo/plate_1/input_sbs/c1/10x/P001_Wells-A3_Points-081__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	1	A3	81
/lab/ops_data/nebo/plate_1/input_sbs/c1/10x/P001_Wells-A3_Points-082__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	1	A3	82
/lab/ops_data/nebo/plate_1/input_sbs/c1/10x/P001_Wells-A3_Points-083__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	1	A3	83
/lab/ops_data/nebo/plate_1/input_sbs/c1/10x/P001_Wells-A3_Points-084__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	1	A3	84
/lab/ops_data/nebo/plate_1/input_sbs/c1/10x/P001_Wells-A3_Points-085__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	1	A3	85
/lab/ops_data/nebo/plate_1/input_sbs/c1/10x/P001_Wells-A3_Points-086__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	1	A3	86
/lab/ops_data/nebo/plate_1/input_sbs/c1/10x/P001_Wells-A3_Points-087__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	1	A3	87
/lab/ops_data/nebo/plate_1/input_sbs/c1/10x/P001_Wells-A3_Points-088__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	1	A3	88
/lab/ops_data/nebo/plate_1/input_sbs/c1/10x/P001_Wells-A3_Points-089__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	1	A3	89
/lab/ops_data/nebo/plate_1/input_sbs/c1/10x/P001_Wells-A3_Points-090__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	1	A3	90
/lab/ops_data/nebo/plate_1/input_sbs/c1/10x/P001_Wells-A3_Points-091__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	1	A3	91
/lab/ops_data/nebo/plate_1/input_sbs/c1/10x/P001_Wells-A3_Points-092__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	1	A3	92
/lab/ops_data/nebo/plate_1/input_sbs/c1/10x/P001_Wells-A3_Points-093__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	1	A3	93
/lab/ops_data/nebo/plate_1/input_sbs/c1/10x/P001_Wells-A3_Points-094__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	1	A3	94
/lab/ops_data/nebo/plate_1/input_sbs/c1/10x/P001_Wells-A3_Points-095__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	1	A3	95
/lab/ops_data/nebo/plate_1/input_sbs/c1/10x/P001_Wells-A3_Points-096__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	1	A3	96
/lab/ops_data/nebo/plate_1/input_sbs/c1/10x/P001_Wells-A3_Points-097__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	1	A3	97
/lab/ops_data/nebo/plate_1/input_sbs/c1/10x/P001_Wells-A3_Points-098__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	1	A3	98
/lab/ops_data/nebo/plate_1/input_sbs/c1/10x/P001_Wells-A3_Points-099__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	1	A3	99
/lab/ops_data/nebo/plate_1/input_sbs/c1/10x/P001_Wells-A3_Points-100__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	1	A3	100
/lab/ops_data/nebo/plate_1/input_sbs/c1/10x/P001_Wells-A3_Points-101__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	1	A3	101
/lab/ops_data/nebo/plate_1/input_sbs/c1/10x/P001_Wells-A3_Points-102__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	1	A3	102
/lab/ops_data/nebo/plate_1/input_sbs/c1/10x/P001_Wells-A3_Points-103__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	1	A3	103
/lab/ops_data/nebo/plate_1/input_sbs/c1/10x/P001_Wells-A3_Points-104__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	1	A3	104
/lab/ops_data/nebo/plate_1/input_sbs/c1/10x/P001_Wells-A3_Points-105__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	1	A3	105
/lab/ops_data/nebo/plate_1/input_sbs/c1/10x/P001_Wells-A3_Points-106__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	1	A3	106
/lab/ops_data/nebo/plate_1/input_sbs/c1/10x/P001_Wells-A3_Points-107__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	1	A3	107
/lab/ops_data/nebo/plate_1/input_sbs/c1/10x/P001_Wells-A3_Points-108__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	1	A3	108
