index	sample_fp	plate	well	tile	round
40929	/archive/cheeseman/brieflow_screens/nebo/plate_1/input_ph/round_1/20250403_160659_394/P001_Wells-B2_Points-025__Channel_DAPI,AF750,Cy3,Cy5.nd2	1	B2	25	1
40930	/archive/cheeseman/brieflow_screens/nebo/plate_1/input_ph/round_2/20250408_152306_799/P001_Wells-B2_Points-025__Channel_DAPI,GFP.nd2	1	B2	25	2
40931	/archive/cheeseman/brieflow_screens/nebo/plate_1/input_ph/round_3/20250411_114421_626/P001_Wells-B2_Points-025__Channel_DAPI,AF750,Cy3,Cy5,GFP.nd2	1	B2	25	3
40932	/archive/cheeseman/brieflow_screens/nebo/plate_1/input_ph/round_1/20250403_160659_394/P001_Wells-B2_Points-026__Channel_DAPI,AF750,Cy3,Cy5.nd2	1	B2	26	1
40933	/archive/cheeseman/brieflow_screens/nebo/plate_1/input_ph/round_2/20250408_152306_799/P001_Wells-B2_Points-026__Channel_DAPI,GFP.nd2	1	B2	26	2
40934	/archive/cheeseman/brieflow_screens/nebo/plate_1/input_ph/round_3/20250411_114421_626/P001_Wells-B2_Points-026__Channel_DAPI,AF750,Cy3,Cy5,GFP.nd2	1	B2	26	3
40935	/archive/cheeseman/brieflow_screens/nebo/plate_1/input_ph/round_1/20250403_160659_394/P001_Wells-B2_Points-027__Channel_DAPI,AF750,Cy3,Cy5.nd2	1	B2	27	1
40936	/archive/cheeseman/brieflow_screens/nebo/plate_1/input_ph/round_2/20250408_152306_799/P001_Wells-B2_Points-027__Channel_DAPI,GFP.nd2	1	B2	27	2
40937	/archive/cheeseman/brieflow_screens/nebo/plate_1/input_ph/round_3/20250411_114421_626/P001_Wells-B2_Points-027__Channel_DAPI,AF750,Cy3,Cy5,GFP.nd2	1	B2	27	3
40938	/archive/cheeseman/brieflow_screens/nebo/plate_1/input_ph/round_1/20250403_160659_394/P001_Wells-B2_Points-028__Channel_DAPI,AF750,Cy3,Cy5.nd2	1	B2	28	1
40939	/archive/cheeseman/brieflow_screens/nebo/plate_1/input_ph/round_2/20250408_152306_799/P001_Wells-B2_Points-028__Channel_DAPI,GFP.nd2	1	B2	28	2
40940	/archive/cheeseman/brieflow_screens/nebo/plate_1/input_ph/round_3/20250411_114421_626/P001_Wells-B2_Points-028__Channel_DAPI,AF750,Cy3,Cy5,GFP.nd2	1	B2	28	3
40941	/archive/cheeseman/brieflow_screens/nebo/plate_1/input_ph/round_1/20250403_160659_394/P001_Wells-B2_Points-029__Channel_DAPI,AF750,Cy3,Cy5.nd2	1	B2	29	1
40942	/archive/cheeseman/brieflow_screens/nebo/plate_1/input_ph/round_2/20250408_152306_799/P001_Wells-B2_Points-029__Channel_DAPI,GFP.nd2	1	B2	29	2
40943	/archive/cheeseman/brieflow_screens/nebo/plate_1/input_ph/round_3/20250411_114421_626/P001_Wells-B2_Points-029__Channel_DAPI,AF750,Cy3,Cy5,GFP.nd2	1	B2	29	3
40944	/archive/cheeseman/brieflow_screens/nebo/plate_1/input_ph/round_1/20250403_160659_394/P001_Wells-B2_Points-030__Channel_DAPI,AF750,Cy3,Cy5.nd2	1	B2	30	1
40945	/archive/cheeseman/brieflow_screens/nebo/plate_1/input_ph/round_2/20250408_152306_799/P001_Wells-B2_Points-030__Channel_DAPI,GFP.nd2	1	B2	30	2
40946	/archive/cheeseman/brieflow_screens/nebo/plate_1/input_ph/round_3/20250411_114421_626/P001_Wells-B2_Points-030__Channel_DAPI,AF750,Cy3,Cy5,GFP.nd2	1	B2	30	3
40947	/archive/cheeseman/brieflow_screens/nebo/plate_1/input_ph/round_1/20250403_160659_394/P001_Wells-B2_Points-031__Channel_DAPI,AF750,Cy3,Cy5.nd2	1	B2	31	1
40948	/archive/cheeseman/brieflow_screens/nebo/plate_1/input_ph/round_2/20250408_152306_799/P001_Wells-B2_Points-031__Channel_DAPI,GFP.nd2	1	B2	31	2
40949	/archive/cheeseman/brieflow_screens/nebo/plate_1/input_ph/round_3/20250411_114421_626/P001_Wells-B2_Points-031__Channel_DAPI,AF750,Cy3,Cy5,GFP.nd2	1	B2	31	3
40950	/archive/cheeseman/brieflow_screens/nebo/plate_1/input_ph/round_1/20250403_160659_394/P001_Wells-B2_Points-032__Channel_DAPI,AF750,Cy3,Cy5.nd2	1	B2	32	1
40951	/archive/cheeseman/brieflow_screens/nebo/plate_1/input_ph/round_2/20250408_152306_799/P001_Wells-B2_Points-032__Channel_DAPI,GFP.nd2	1	B2	32	2
40952	/archive/cheeseman/brieflow_screens/nebo/plate_1/input_ph/round_3/20250411_114421_626/P001_Wells-B2_Points-032__Channel_DAPI,AF750,Cy3,Cy5,GFP.nd2	1	B2	32	3
40953	/archive/cheeseman/brieflow_screens/nebo/plate_1/input_ph/round_1/20250403_160659_394/P001_Wells-B2_Points-033__Channel_DAPI,AF750,Cy3,Cy5.nd2	1	B2	33	1
40954	/archive/cheeseman/brieflow_screens/nebo/plate_1/input_ph/round_2/20250408_152306_799/P001_Wells-B2_Points-033__Channel_DAPI,GFP.nd2	1	B2	33	2
40955	/archive/cheeseman/brieflow_screens/nebo/plate_1/input_ph/round_3/20250411_114421_626/P001_Wells-B2_Points-033__Channel_DAPI,AF750,Cy3,Cy5,GFP.nd2	1	B2	33	3
40956	/archive/cheeseman/brieflow_screens/nebo/plate_1/input_ph/round_1/20250403_160659_394/P001_Wells-B2_Points-034__Channel_DAPI,AF750,Cy3,Cy5.nd2	1	B2	34	1
40957	/archive/cheeseman/brieflow_screens/nebo/plate_1/input_ph/round_2/20250408_152306_799/P001_Wells-B2_Points-034__Channel_DAPI,GFP.nd2	1	B2	34	2
40958	/archive/cheeseman/brieflow_screens/nebo/plate_1/input_ph/round_3/20250411_114421_626/P001_Wells-B2_Points-034__Channel_DAPI,AF750,Cy3,Cy5,GFP.nd2	1	B2	34	3
40959	/archive/cheeseman/brieflow_screens/nebo/plate_1/input_ph/round_1/20250403_160659_394/P001_Wells-B2_Points-035__Channel_DAPI,AF750,Cy3,Cy5.nd2	1	B2	35	1
40960	/archive/cheeseman/brieflow_screens/nebo/plate_1/input_ph/round_2/20250408_152306_799/P001_Wells-B2_Points-035__Channel_DAPI,GFP.nd2	1	B2	35	2
